Track Name,Artist Name(s),Genres,Tempo,Key,Energy,Danceability,Popularity
Never Walk Alone,BLOND:ISH;Stevie Appleton,"afro house,techengue,house latina",130,11A,0.594,0.853,64
How You Feel (ft Leven Kali),ANOTR;Leven Kali;Erik Bandt,"musica house,tech-house",128,11A,0.71,0.717,70
TOO COOL TO BE CARELESS,PAWSA,"tech-house,musica house",128,12A,0.781,0.805,75
World Hold on (Children of the Sky) [Radio Edit],Bob Sinclar;Steve Edwards,"french touch,disco house,musica house",127,1A,0.932,0.738,3
Gotta Let You Go - Original '95 Radio Edit,Dominica,musica house,126,2A,0.978,0.735,0
Love Generation - Edit,Bob Sinclar;Gary Pine,"french touch,disco house",128,3B,0.856,0.723,72
The Night Trip,Supernova,"tech-house,house latina",131,4B,0.957,0.733,32
Tondo,Disclosure;Eko Roosevelt,musica house,132,5A,0.92,0.675,41
Stay,FISHER,"tech-house,musica house",128,5A,0.971,0.738,72
Glow,Siggy Freud;Sunsets,"funky house,disco house,nu disco",126,4A,0.873,0.779,29
Afraid To Feel,LF SYSTEM,musica house,128,3B,0.912,0.578,75
I Want Your Soul,Armand Van Helden,"disco house,funky house",128,2B,0.912,0.668,68
Ease My Mind,Chris Lake;Abel Balder,"tech-house,musica house,bass house",126,1A,0.805,0.739,69
Sound of You (ft TEED),ANOTR;TEED,"musica house,tech-house",127,12A,0.872,0.758,57
and it felt like..,Mr. Belt & Wezol;Millean.;Alex Hosking,"future house,musica house,stutter house",128,11A,0.863,0.693,44
"Hold On, Let Go",ANOTR;WAYNE SNOW;3DDY,"musica house,tech-house",128,12B,0.909,0.729,63
PanAm (Radio Edit),Simon Field,funky house,126,11B,0.928,0.745,0
Verano En NY,Toman,"tech-house,house latina",126,10B,0.903,0.8,66
Little Things x Gypsy Woman - L BEATS MASHUP,Jorja Smith,,127,11A,0.879,0.644,65
Boogie Time,Siggy Freud,"funky house,disco house",128,10B,0.92,0.68,38
The Weekend - Radio Edit,Michael Gray,disco house,127,9A,0.832,0.686,70
Your Body - Andy Van Remix Video Edit,Tom Novy;Michael Marshall,bass brasiliano,128,7B,0.947,0.711,1
Funk U Want,Siggy Freud,"funky house,disco house",126,6B,0.948,0.772,42
Lose My Mind,Jamie Jones;Connie Constance,"tech-house,musica house,deep house",124,6B,0.898,0.646,62
That's Right - Edit,Dam Swindle,"deep house,disco house,lo-fi house,funky house,chicago house",120,7A,0.7,0.787,49
Edge of Desire,Jonas Blue;Malive,"tropical house,hip hop brasiliano,bass brasiliano",123,8B,0.787,0.779,81
Move Your Body,Marshall Jefferson;Solardo,"chicago house,acid house,musica house,tech-house",125,9A,0.801,0.791,1
One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,"edm,pop",124,8A,0.862,0.791,79
Be Where I Am,Metroplane;Alex Metric;Aeroplane;Daniel Wilson,"nu disco,french touch,indie dance,disco house",122,9A,0.785,0.746,62
So Hooked On Your Lovin - Mousse T.'s Extended Disco Shizzle,Selace;Mousse T.,"disco house,funky house",120,8B,0.872,0.924,41
Down Low,Dombresky;Ricky Ducati;Donnie Sloan,"bass house,tech-house,musica house,g-house,disco house",122,9A,0.805,0.675,46
Expressing What Matters,Disclosure,musica house,120,10A,0.813,0.781,51
Dancing On My Own,Flight Facilities;DRAMA,"nu disco,indie soul",121,11B,0.87,0.759,50
My Love My Kisses,Chevals,disco house,123,12A,0.824,0.73,48
Starry Night - Edit,Peggy Gou,,123,1A,0.865,0.747,62
Sing It Back - Boris Dlugosch Mix,Moloko;Boris Dlugosch;Michael Lange,"trip hop,disco house,funky house,nu disco,funky uk",123,2A,0.775,0.761,2
24 (Turn It Up) (Radio Edit),ANOTR;Kurtis Wells,"musica house,tech-house",122,4A,0.717,0.774,59
Lady - Hear Me Tonight,Modjo,"french touch,disco house",126,2B,0.808,0.72,82
Devotion,Lance Savali,"rally house,musica house",128,3A,0.796,0.98,69
Fara,O'Flynn,disco house,128,4A,0.876,0.65,51
Love Songs (feat. Kosmo Kint),Prospa;Kosmo Kint,musica house,127,3B,0.796,0.684,69
Relax My Eyes,ANOTR;Abel Balder,"musica house,tech-house",132,2A,0.616,0.747,74
This Rhythm (feat. RAHH),Prospa;RAHH,musica house,127,3A,0.713,0.928,71
REARRANGE YOURSELF (Feat. Ben Westbeech & Obi Franky),Makèz;Ben Westbeech;Obi Franky,"jazz house,disco house",128,1A,0.786,0.762,32
24 (Turn It Up) (+6),ANOTR;Kurtis Wells,"musica house,tech-house",128,12A,0.789,0.762,51
The Less I Know The Better,Mau P,"tech-house,musica house",128,11A,0.8,0.754,72
Sunshine Is Coming,Bellaire,"jazz house,disco house,funky house,musica house",128,10A,0.885,0.619,26
2 Spirits - Extended Mix,Jonk & Spook,"funky house,disco house,nu disco",123,11A,0.778,0.841,42
Neverender - Rampa Remix,Justice;Tame Impala;Rampa;Keinemusik,"french touch,new rave,neopsichedelia,indie,afro house,afro-tech,melodic house,musica house",120,11A,0.683,0.705,58
Dancing Down The Path,The Coney Island Rhythm Band;Jerk Boy,"nu disco,disco house,funky house",121,9A,0.704,0.822,31
Keep It Simple,Prunk;Rona Ray,"musica house,lo-fi house,tech-house",126,8B,0.724,0.76,49
Forget About Us,Jonk & Spook,"funky house,disco house,nu disco",126,1B,0.785,0.878,41
Make Me - Franky Rizardo Remix,Borai & Denham Audio;Franky Rizardo,"musica house,tech-house",130,2B,0.727,0.686,64
The Thrill,Wiz Khalifa;Empire Of The Sun,rap,127,3A,0.775,0.817,81
Music Sounds Better With You - Radio Edit,Stardust;Benjamin Diamond;Alan Braxe;Thomas Bangalter,french touch,124,4A,0.662,0.729,71
More Than A Woman - SG's Paradise Edit,Bee Gees;SG Lewis,disco,105,3A,0.762,0.679,67
"She’s Gone, Dance On",Disclosure,musica house,134,12A,0.943,0.534,72
Turn It Around - Tom Novy Deep House Remix Edit,Tom Novy,,124,1A,0.649,0.761,4
